C:\Users\30264\.conda\envs\pytorch\python.exe C:\Users\30264\PycharmProjects\pythonProject\Dian\Project-01\01.py 
开始训练，使用设备: cuda
Epoch [1/200] | Train Loss: 1.9106 | Train Acc: 31.07% | Test Loss: 1.5139 | Test Acc: 44.58%
Epoch [2/200] | Train Loss: 1.3879 | Train Acc: 49.08% | Test Loss: 1.2388 | Test Acc: 55.07%
Epoch [3/200] | Train Loss: 1.0945 | Train Acc: 60.57% | Test Loss: 1.0481 | Test Acc: 62.19%
Epoch [4/200] | Train Loss: 0.8969 | Train Acc: 68.44% | Test Loss: 0.8725 | Test Acc: 69.79%
Epoch [5/200] | Train Loss: 0.7523 | Train Acc: 73.68% | Test Loss: 0.8234 | Test Acc: 71.53%
Epoch [6/200] | Train Loss: 0.6573 | Train Acc: 77.17% | Test Loss: 0.8305 | Test Acc: 72.29%
Epoch [7/200] | Train Loss: 0.5986 | Train Acc: 79.31% | Test Loss: 0.6763 | Test Acc: 77.12%
Epoch [8/200] | Train Loss: 0.5507 | Train Acc: 80.96% | Test Loss: 0.6356 | Test Acc: 78.34%
Epoch [9/200] | Train Loss: 0.5278 | Train Acc: 81.98% | Test Loss: 0.6791 | Test Acc: 77.75%
Epoch [10/200] | Train Loss: 0.5011 | Train Acc: 82.70% | Test Loss: 0.5478 | Test Acc: 81.54%
Epoch [11/200] | Train Loss: 0.4884 | Train Acc: 83.15% | Test Loss: 0.6358 | Test Acc: 79.04%
Epoch [12/200] | Train Loss: 0.4681 | Train Acc: 83.89% | Test Loss: 0.7568 | Test Acc: 75.11%
Epoch [13/200] | Train Loss: 0.4525 | Train Acc: 84.59% | Test Loss: 0.7452 | Test Acc: 75.89%
Epoch [14/200] | Train Loss: 0.4418 | Train Acc: 84.91% | Test Loss: 0.8636 | Test Acc: 72.05%
Epoch [15/200] | Train Loss: 0.4329 | Train Acc: 85.18% | Test Loss: 0.5674 | Test Acc: 80.78%
Epoch [16/200] | Train Loss: 0.4201 | Train Acc: 85.62% | Test Loss: 0.8572 | Test Acc: 73.77%
Epoch [17/200] | Train Loss: 0.4160 | Train Acc: 85.85% | Test Loss: 0.6576 | Test Acc: 79.61%
Epoch [18/200] | Train Loss: 0.4103 | Train Acc: 86.00% | Test Loss: 0.5289 | Test Acc: 82.14%
Epoch [19/200] | Train Loss: 0.4024 | Train Acc: 86.19% | Test Loss: 0.5397 | Test Acc: 82.71%
Epoch [20/200] | Train Loss: 0.3928 | Train Acc: 86.52% | Test Loss: 0.5963 | Test Acc: 81.00%
Epoch [21/200] | Train Loss: 0.3856 | Train Acc: 86.66% | Test Loss: 0.5714 | Test Acc: 81.52%
Epoch [22/200] | Train Loss: 0.3808 | Train Acc: 86.97% | Test Loss: 0.6830 | Test Acc: 77.92%
